Title,Date,URL,Summary,Keywords,Location,Coordinates,Location Source,Word Count
"Secrets, Rebels, and the Fight to Silence Leek",2025-12-31,https://southsudanherald.com/secrets-rebels-and-the-fight-to-silence-leek/,"Leek Mamer Leek, a community leader from Bor County, is at the center of a national debate regarding his group, the Red Belt, which aims to protect villages and cattle. He claims he was lured to Nairobi and introduced to rebel emissaries, while others accuse a political actor of attempting to use the Red Belt as a private enforcement arm. Observers suggest the state must decide whether to treat Leek as a combatant or a witness.","Leek Mamer Leek, Red Belt, Bor County, South Sudan, Rebellion",Bor County; Nairobi; Juba,"(30.7302, 6.2201); (36.8172, -1.2921); (31.5944, 4.8517)",extracted,333
"Holiday Violence Grips Duk County, Fear Surges",2025-12-31,https://southsudanherald.com/holiday-violence-grips-duk-county-fear-surges/,"Duk County experienced a surge in violence during the Christmas and New Year period, with three attacks reported in a week, including cattle raids and an ambush that killed one person. The attacks have left residents fearful, and while no group has claimed responsibility, officials suspect youth from the Greater Pibor Administrative Area, highlighting the ongoing fragility of peace efforts in the region.","Duk County, cattle raids, violence, South Sudan, Greater Pibor Administrative Area",Duk County,"(31.95, 7.4)",extracted,209
Border Breakthrough: Yambio Summit’s Bold Plan,2025-12-31,https://southsudanherald.com/border-breakthrough-yambio-summits-bold-plan/,"A two-day summit in Yambio addressed simmering border tensions, cattle-related insecurity, and development challenges in Western Equatoria State. Delegates agreed to form a fact-finding committee to investigate land transactions and contested boundaries, aiming to foster unity and economic vitality.","Yambio Summit, Border Tensions, Western Equatoria State, Peaceful Coexistence",Yambio,"(27.5833, 4.5667)",extracted,224
Gunships Over Jonglei: Civilians Ordered Out,2025-12-30,https://southsudanherald.com/gunships-over-jonglei-civilians-ordered-out/,"The South Sudan People’s Defence Forces (SSPDF) have ordered civilians to evacuate areas near SPLA-IO positions in Nyirol, Uror, and Akobo, Jonglei, ahead of imminent military operations. This order follows a recent airstrike in Lankien that killed over twenty-six civilians, raising fears of increased displacement and humanitarian crisis amidst accusations of escalating ethnic conflict.","South Sudan, Jonglei, SSPDF, SPLA-IO, civilian evacuation, conflict",Jonglei; Nyirol; Uror; Akobo,"(31.5, 7.5); (33.25, 8.0167); (32.8833, 8.1667); (33.9833, 7.7833)",extracted,290
Skyfire Over Nyirol: 26 Civilian Lives Lost,2025-12-30,https://southsudanherald.com/skyfire-over-nyirol-26-civilian-lives-lost/,"An alleged airstrike in Lankien town, Nyirol County, South Sudan, on December 26, resulted in the deaths of 26 unarmed civilians, including 11 children. Civil society bodies have condemned the attack, attributing it to the South Sudan People’s Defence Forces, and are appealing for emergency humanitarian aid amidst escalating fear and displacement.","South Sudan, Jonglei State, airstrike, civilian casualties, humanitarian crisis, Nyirol",Nyirol,"(31.85, 7.75)",extracted,258
Juba Rebel Row: Who Commands South Sudan’s Guns?,2025-12-29,https://southsudanherald.com/juba-rebel-row-who-commands-south-sudans-guns/,"A dispute has erupted within the South Sudan Patriotic Army (SSPA) regarding the legitimacy of forces commanded by agriculture minister Hussein Abdelbagi Akol. Deputy commander Maj. Gen. Deng Mayar Barjok accuses Abdelbagi of presenting civilians as soldiers, while Abdelbagi's wing asserts his authority and political mandate to integrate loyal forces. The disagreement highlights challenges to the 2018 revitalised peace agreement and the planned December 2026 elections.","South Sudan, SSPA, Hussein Abdelbagi Akol, Deng Mayar Barjok, peace agreement, elections, military integration",Juba,"(31.57147, 4.85165)",extracted,367
Border Standoff: UPDF Fatal Raid Sparks Crisis,2025-12-29,https://southsudanherald.com/border-standoff-updf-fatal-raid-sparks-crisis/,"A South Sudanese military intelligence officer was killed near the Ugandan border, sparking a crisis between South Sudan and Uganda. South Sudan alleges a preplanned incursion by Ugandan forces, while Uganda claims the officer was a thief. The incident has led to diplomatic tensions and calls for renewed border demarcation efforts.","border dispute, South Sudan, Uganda, military intelligence, Kajo-Keji",Kajo-Keji County,"(31.6667, 3.8333)",extracted,270
Kon John Akot Elevated: South Sudan Police Shake-Up,2025-12-29,https://southsudanherald.com/kon-john-akot-elevated-south-sudan-police-shake-up/,"Major Kon John Akot, head of traffic police, has been promoted to Lieutenant General as part of a significant reshuffle within the South Sudan police service. This promotion follows a recent controversy regarding his directives on right-hand-drive vehicles, which were later suspended. Analysts view this as a sign of institutional confidence in his administrative abilities and a potential increase in his authority to influence urban mobility policies.","South Sudan, Police, Promotion, Kon John Akot, Traffic",South Sudan,"(31.3079, 6.877)",extracted,214
Silent Nights: Western Equatoria’s Safe Christmas,2025-12-29,https://southsudanherald.com/silent-nights-western-equatorias-safe-christmas/,"Western Equatoria experienced a remarkably peaceful Christmas period with no reported crimes, attributed to enhanced cooperation between police, traditional leaders, and youth groups. This success follows years of conflict and displacement in the region, offering cautious optimism for sustainable peace through continued vigilance and community trust.","Western Equatoria, South Sudan, Christmas peace, police cooperation, community unity",Western Equatoria; Yambio,"(28.5, 5.5); (28.3833, 4.5833)",extracted,171
South Sudan Peace Amendments Spark New Storm,2025-12-29,https://southsudanherald.com/south-sudan-peace-amendments-spark-new-storm/,"A proposal to remove Articles 8.2 and 8.3 from South Sudan's peace agreement has sparked debate. Proponents argue it streamlines the path to December elections, while civil society fears it will dismantle enforcement mechanisms and jeopardize fragile reforms. The move raises concerns about accountability, donor confidence, and potential instability ahead of the polls.","South Sudan, peace agreement, elections, conflict, governance, reforms",South Sudan; Juba,"(31.0, 7.0); (31.6, 4.85)",extracted,359
