Title,Date,URL,Summary,Keywords,Location,Coordinates,Word Count
SSPDF airstrike leaves civilians dead in Nyirol,"December 29, 2025",https://www.radiotamazuj.org/en/news/article/sspdf-airstrike-leaves-civilians-dead-in-nyirol,"An airstrike by the South Sudan People's Defense Forces (SSPDF) in Lankien, Nyirol County, Jonglei State, killed at least nine civilians, including women and children. This incident followed earlier ground clashes between SSPDF and SPLA-IO forces in Riang Payam, resulting in casualties on both sides. Civil society organizations have condemned the violence, warning of potential human rights violations and an escalation of conflict.","South Sudan, SSPDF, SPLA-IO, airstrike, civilian casualties, Jonglei State",Lankien; Nyirol County; Jonglei State; Riang Payam,"(32.25, 8.55); (32.33, 8.35); (32.5, 7.5); (32.2, 8.6)",420
Work begins to restart oil output at Heglig oilfield,"December 28, 2025",https://www.radiotamazuj.org/en/news/article/work-begins-to-restart-oil-output-at-heglig-oilfield,"Efforts are underway to restart oil production at the Heglig oilfield following a temporary shutdown due to tensions between South Sudan’s People’s Defense Forces (SSPDF) and Sudan’s Rapid Support Forces (RSF). A tripartite agreement aims to neutralize the oilfield from active combat, securing a critical revenue source for both Sudan and South Sudan. Technical teams have been redeployed and a power station restarted, though the RSF still maintains a presence in some parts of the oilfield despite requests for their complete withdrawal.","Heglig oilfield, South Sudan, Sudan, oil production, conflict, RSF, SSPDF",Heglig,"(29.5407, 10.0273)",411
9 SSPDF soldiers held as prisoners of war in Jonglei,"December 26, 2025",https://www.radiotamazuj.org/en/news/article/9-sspdf-soldiers-held-as-prisoners-of-war-in-jonglei,"The SPLA-IO announced it is holding nine Sudan People’s Defense Forces (SSPDF) soldiers as prisoners of war after capturing the town of Waat in Jonglei state. The opposition group seized Waat after heavy fighting, and the captured soldiers claim they are being treated well. The SPLA-IO also claims to have killed over 30 government troops and seized military equipment.","SSPDF, SPLA-IO, Waat, Jonglei, Prisoners of War",Waat,"(31.8546, 7.6617)",339
SPLA-IO announces capture of key SSPDF base in Jonglei,"December 24, 2025",https://www.radiotamazuj.org/en/news/article/spla-io-announces-capture-of-key-sspdf-base-in-jonglei,"SPLA-IO forces claim to have captured the strategic town of Waat in Jonglei State, South Sudan, following intense fighting with government troops. The opposition group asserts they overran the SSPDF garrison, seizing military equipment and capturing the SSPDF garrison commander. This event highlights ongoing sporadic clashes despite a 2018 peace agreement.","SPLA-IO, SSPDF, Waat, Jonglei State, South Sudan",Waat,"(31.8417, 7.7667)",360
South Sudan’s cabinet fills gap left by Machar,"December 24, 2025",https://www.radiotamazuj.org/en/news/article/south-sudans-cabinet-fills-gap-left-by-machar,"South Sudan's cabinet has appointed Rebecca Nyandeng de Mabior to chair the governance cluster, filling the void left by the detained First Vice President Dr. Riek Machar. The cabinet also passed amendments to the peace agreement, potentially enabling elections without a new census or constitution, and addressed salary arrears and health sector funding.","South Sudan, Riek Machar, Rebecca Nyandeng de Mabior, peace agreement",Juba,"(31.5824, 4.8517)",463
Electoral body sets 102 constituencies for 2026 vote,"December 22, 2025",https://www.radiotamazuj.org/en/news/article/south-sudans-electoral-body-sets-102-constituencies-for-2026-vote,"South Sudan's National Elections Commission (NEC) announced it will use the 2010 geographical constituency boundaries for the December 2026 general elections due to delays in conducting a new national census. A total of 102 national constituencies have been declared across the country's 10 states and three administrative areas. This decision aligns with the National Elections Act of 2012, as amended in 2023, and follows an agreement to proceed with elections without a new census or completed constitution-making process.","South Sudan, Elections, Constituencies, NEC, 2026 vote",Juba,"(31.5825, 4.8516)",370
Court hears soldier’s ransom testimony in Machar’s trial,"December 22, 2025",https://www.radiotamazuj.org/en/news/article/court-hears-soldiers-ransom-testimony-in-machars-trial,"An SSPDF soldier, R/SM Ater Bol Piol, testified in Riek Machar's trial about being captured by opposition fighters in March 2025 and his family paying a $20,000 ransom for his release. He also detailed his evacuation to Juba and claimed to have spoken with Machar during his captivity, who offered him a promotion if he joined the SPLA-IO. The trial is adjourned until January 2026.","Riek Machar, ransom, South Sudan, SPLA-IO, SSPDF",Juba; Nasir; Upper Nile State; Ulang County,"(31.57147, 4.85165); (30.2374, 9.2965); (32.5, 9.5); (32.5667, 8.05)",631
Kiir holds prayer breakfast to seek ‘divine guidance’,"December 20, 2025",https://www.radiotamazuj.org/en/news/article/kiir-hosts-prayer-breakfast-to-seek-divine-guidance,"South Sudan's President Salva Kiir hosted a National Prayer Breakfast in Juba, emphasizing spiritual renewal, peace, and divine guidance for the nation's challenges. He urged leaders to serve with honesty and accountability, calling for unity and rejection of division. While some commended the event, critics called for tangible political actions like paying civil servants and pardoning political figures to accompany the prayers.","South Sudan, Salva Kiir, Prayer Breakfast, Peace, Reconciliation, Juba",Juba,"(31.57147, 4.85165)",627
SSPDF issues evacuation order as fighting intensifies in Jonglei,"December 30, 2025",https://www.radiotamazuj.org/en/news/article/sspdf-issues-evacuation-order-as-fighting-intensifies-in-jonglei,"South Sudan's military (SSPDF) has ordered civilians to evacuate SPLA-IO controlled areas in northern Jonglei State due to escalating fighting, particularly in Nyirol, Uror, and Akobo counties. This directive aims to protect civilians and minimize collateral damage, but human rights groups express concern, viewing it as a move towards military resolution over dialogue. The order follows recent clashes, including an SSPDF airstrike on a market in Lankien and SPLA-IO capturing Waat.","South Sudan, Jonglei, SSPDF, SPLA-IO, Evacuation, Conflict, Peace Agreement",Juba; Jonglei State; Nyirol County; Uror County; Akobo County,"(31.6, 4.85); (32.5, 7.5); (33.3, 8.0); (32.7, 7.8); (33.7, 7.8)",394
CAR violence forces hundreds to flee into South Sudan,"December 30, 2025",https://www.radiotamazuj.org/en/news/article/car-violence-forces-hundreds-to-flee-into-south-sudan,"Hundreds of civilians, primarily women and children, have fled the Central African Republic (CAR) into South Sudan's Western Equatoria state due to clashes between rebel groups and government forces in the CAR border town of Bambuti. These displaced individuals are currently sheltering in the Source Yubu area of Tambura County, lacking adequate food, clean water, and housing, prompting urgent appeals for humanitarian aid.","CAR violence, South Sudan, displaced civilians, humanitarian crisis","Tambura, South Sudan; Western Equatoria State, South Sudan; Bambuti, Central African Republic","(27.4778, 5.6028); (28.5, 5.5); (27.3917, 5.6667)",360
Opinion| The risks of going to elections unprepared in South Sudan,"December 30, 2025",https://www.radiotamazuj.org/en/news/article/opinion-the-risks-of-going-to-elections-unprepared-in-south-sudan,"This article discusses the significant risks and challenges South Sudan faces in holding democratic elections without adequate preparation. It highlights the lack of essential institutions, political fragmentation, ongoing displacement, and a climate of fear as major impediments to free and fair elections. The author argues that genuine peace and stability require extensive reconciliation, institution-building, and constitutional clarity before elections can serve as a true milestone for national transformation.","South Sudan, elections, peace, democracy, state-building, conflict","Juba, South Sudan; Wau, South Sudan","(31.5707, 4.8517); (27.9947, 7.7088)",1207
Wau police arrest 28 in holiday crime crackdown,"December 30, 2025",https://www.radiotamazuj.org/en/news/article/wau-police-arrest-28-in-holiday-crime-crackdown,"Police in Wau, Western Bahr el Ghazal state, arrested 28 suspects during the Christmas holiday period (Dec. 24-27) following 51 criminal cases. Charges range from murder and rape to traffic offenses, with authorities noting a decrease in crime rates compared to the previous year due to collaborative security efforts. Additionally, traffic accidents resulted in two deaths and two critical injuries during the same period.","Wau, crime, arrests, traffic accidents, Christmas",Wau,"(27.9945, 7.7077)",317
Opinion| South Sudan is dying in silence and President Kiir is the quiet engineer of its collapse,"December 29, 2025",https://www.radiotamazuj.org/en/news/article/opinion-south-sudan-is-dying-in-silence-and-president-kiir-is-the-quiet-engineer-of-its-collapse,"This article argues that South Sudan's collapse is a deliberate strategy orchestrated by President Salva Kiir, who employs 'negative governance' tactics like fragmentation and fear to maintain power. The author, a former insider, details Kiir's methods of undermining institutions, betraying allies, and creating chaos, all while presenting a facade of peace and nation-building. The article calls for international pressure and an awakening among South Sudanese citizens to reclaim their future from this destructive leadership.","South Sudan, Salva Kiir, governance, authoritarianism, political collapse","Juba, South Sudan; Jonglei, South Sudan; Warrap, South Sudan; Unity, South Sudan; Upper Nile, South Sudan; Bentiu, South Sudan; Aweil, South Sudan","(31.57147, 4.85165); (31.5, 7.5); (28.65, 8.0); (30.25, 8.5); (32.75, 9.5); (29.8333, 9.2333); (27.3833, 8.7667)",1251
16 killed in attack at gold mining site in Budi County,"December 29, 2025",https://www.radiotamazuj.org/en/news/article/16-killed-in-attack-at-gold-mining-site-in-budi-county,"An attack by armed youths at an artisanal gold mining site in Ngauro, Budi County, Eastern Equatoria State, resulted in the deaths of at least 16 people. The violence escalated after a failed attempt to free a suspected gang member from detention, leading to an exchange of gunfire and subsequent assault on civilians. Officials condemn the killings and call for investigations into the incident and its underlying causes.","gold mining, Budi County, Eastern Equatoria State, violence",Ngauro,"(33.6667, 4.1667)",304
Agriculture minister accused of misleading presidency over armed forces,"December 29, 2025",https://www.radiotamazuj.org/en/news/article/agriculture-minister-accused-of-misleading-presidency-over-armed-forces,"Agriculture Minister Hussein Abdelbagi Akol is accused of illegally recruiting fighters and falsely claiming command of the South Sudan Patriotic Army (SSPA) amidst a leadership dispute. Maj. Gen. Deng Mayar Barjok, deputy commander of the SSPA, states Abdelbagi was dismissed and has no authority, while Abdelbagi submitted documents to the President to integrate his claimed forces into the national army. This controversy highlights delays and political disagreements in unifying armed groups under the 2018 peace agreement.","South Sudan, SSPA, Hussein Abdelbagi Akol, Costello Garang, Peace Agreement, Army Unification",Juba,"(31.57147, 4.85165)",579
Western Equatoria officials warn salary delays hurting public services,"December 29, 2025",https://www.radiotamazuj.org/en/news/article/western-equatoria-officials-warn-salary-delays-hurting-public-services,"Officials in Western Equatoria State are urging the timely payment of civil servants' salaries, warning that ongoing delays are causing severe hardship for families and disrupting essential public services. Lawmakers plan to address the issue, citing poor handling of payments and the need for greater transparency and accountability in budget management. The delays are impacting teachers, health workers, and administrative staff, weakening public service delivery across the state.","Western Equatoria State, salary delays, public services, civil servants",Yambio,"(28.3895, 4.5599)",430
"UNICEF launches polio campaign for 500,000 children in Darfur","December 29, 2025",https://www.radiotamazuj.org/en/news/article/unicef-launches-polio-campaign-for-500000-children-in-darfur,"UNICEF has launched a second round polio vaccination campaign in Sudan's Darfur region, aiming to immunize over 500,000 children under five. This initiative addresses the collapse of supply chains due to ongoing conflict and widespread outbreaks of childhood diseases, with routine vaccination coverage at a four-decade low.","UNICEF, polio, Darfur, vaccination, Sudan, children",Darfur,"(25.0, 13.0)",267
"Northern Bahr el Ghazal, UNDP hold talks to improve community policing","December 29, 2025",https://www.radiotamazuj.org/en/news/article/northern-bahr-el-ghazal-undp-hold-talks-to-improve-community-policing,"Officials from Northern Bahr el Ghazal state and the UNDP held discussions in Aweil to enhance community policing for crime detection and prevention. The meetings involved various stakeholders, focusing on forming Police Community Relations Committees and ensuring proper treatment of accused persons. This collaboration is seen as a positive step for the country's progress and human rights protection.","community policing, Northern Bahr el Ghazal, UNDP, South Sudan",AWEIL,"(27.3833, 8.7667)",289
Opinion| Israel’s recognition of Somaliland: A strategic calculus or regional gamble?,"December 29, 2025",https://www.radiotamazuj.org/en/news/article/opinion-israels-recognition-of-somaliland-a-strategic-calculus-or-regional-gamble,"Israel's recognition of Somaliland is a strategic move to exploit regional rivalries in the Horn of Africa, particularly between Arab states and between Egypt and Ethiopia. This decision aims to secure Israeli influence in vital shipping lanes and infrastructure projects, while challenging the influence of Cairo and Riyadh. The article argues that existing fragmentation among regional actors makes a unified opposition to Israel's move unlikely.","Israel, Somaliland, Horn of Africa, Geopolitics, Red Sea, Ethiopia, Egypt","Juba, South Sudan","(31.6, 4.85)",1360
Alumni group visits Al Sabah Hospital to support families over Christmas,"December 29, 2025",https://www.radiotamazuj.org/en/news/article/alumni-group-visits-al-sabah-hospital-to-support-families-over-christmas,"The Mahad Juba Al-Elmi Alumni Association visited Al Sabah Children’s Hospital in Juba, South Sudan, to deliver food and provide moral support to mothers and children spending Christmas there. The visit highlighted the struggles families face with basic needs in the hospital and the need for increased humanitarian aid for food, medicine, and resources. This was the association's first holiday outreach, with plans for regular future visits.","Al Sabah Children’s Hospital, Christmas outreach, Mahad Juba Al-Elmi Alumni Association, Juba",Juba,"(31.5824, 4.8516)",369
Opinion| Machar should be freed to lead the reconciliation for peace and unity,"December 29, 2025",https://www.radiotamazuj.org/en/news/article/opinion-machar-should-be-freed-to-lead-the-reconciliation-for-peace-and-unity,"The article criticizes the lack of progress in South Sudan's peace and reconciliation efforts, specifically highlighting the continued house arrest of First Vice-President Dr. Riek Machar. The author argues that true peace cannot be achieved without Machar's involvement and calls for his release to lead inclusive dialogue and the implementation of the R-ARCSS agreement. The author also commends international support for dialogue in South Sudan.","South Sudan, Riek Machar, Peace, Reconciliation, R-ARCSS, Political Detainees",Juba; Northern Bahr el-Ghazal State; Aweil,"(31.5825, 4.8516); (27.2, 9.0); (27.3833, 8.7667)",497
"Clashes resume between SSPDF, SPLA-IO in Jonglei","December 29, 2025",https://www.radiotamazuj.org/en/news/article/clashes-resume-between-sspdf-spla-io-in-jonglei,"Clashes have resumed between the South Sudan People’s Defence Forces (SSPDF) and the Sudan People’s Liberation Army-in-Opposition (SPLA-IO) in Jonglei State, South Sudan. The fighting began in Nyirol County with an attack on an SPLA-IO base, leading to fears of further escalation and humanitarian concerns in the region. The SPLA-IO demands the release of their leader, Riek Machar, and the vacation of SSPDF forces from Lou Nuer areas.","South Sudan, Jonglei State, SSPDF, SPLA-IO, Nyirol County, Riek Machar",Nyirol County; Uror County; Jonglei State,"(32.7833, 7.4167); (32.9667, 7.55); (32.5, 7.5)",321
Army general declares ‘national uprising’ against government,"December 28, 2025",https://www.radiotamazuj.org/en/news/article/army-general-declares-national-uprising-against-government,"A South Sudanese general and diplomat, Gen. Wilson Deng Kuoirot, has declared a ""national uprising"" to oust President Salva Kiir's government, forming the National Uprising Movement (NUM). The movement accuses the current administration of economic collapse and insecurity, calling for its dissolution and replacement with an interim civilian government. While initially advocating for peaceful resignations, the declaration warns of an armed uprising if Kiir and Machar refuse to step down.","South Sudan, National Uprising Movement, Salva Kiir, Wilson Deng Kuoirot",Juba; Jonglei State,"(31.57147, 4.85165); (32.78333, 7.58333)",338
Eye Radio journalist Emmanuel Akile dies,"December 30, 2025",https://www.radiotamazuj.org/en/news/article/eye-radio-journalist-emmanuel-akile-dies,"Emmanuel Joseph Akile, a respected South Sudanese broadcast journalist for Eye Radio, has died at the age of 34 after a brief illness. Known for hosting 'The Dawn Show' and his insightful reporting on national affairs, his sudden death has caused widespread grief. Doctors diagnosed complications affecting his liver and pancreas.","Emmanuel Akile, South Sudan, Eye Radio, Journalist",Juba,"(31.57147, 4.85165)",310
